field_name_generic;node_name;description;help_entry;class_1_name_in_network;class_1_name_to_show;class_2_name_in_network;class_2_name_to_show;class_3_name_in_network;class_3_name_to_show
Symptom_1;RLMR_FI;German Fauna Index [EQR];Selection of the standardized German Fauna Index as Ecological Quality Ratio (EQR).;Low;Low (<= 0,4);Medium;Medium (> 0,4 bis <= 0,6);High;High (> 0,6)
Symptom_2;RLMR_SI;German Saprobic Index (new);Selection of the German Saprobial Index (new).;Low;Low (<= 1,7);Medium;Medium (> 1,7 bis <= 2,1);High;High ( > 2,1)
Symptom_3;RLMR_Epirhithral;Epirhithral preference [%];Selection of the relative abundance of species with epirhithral preference (scored taxa = 100%).;Low;Low (<= 12);Medium;Medium (> 12 bis <= 17);High;High (> 17)
Symptom_4;RLMR_Metarhithral;Metarhithral preference [%];Selection of the relative abundance of species with metarhithral preference (scored taxa = 100%).;Low;Low (<= 15);Medium;Medium (> 15 bis <= 25);High;High (> 25)
Symptom_5;RLMR_Littoral;Litoral preference [%];Selection of the relative abundance of species with littoral preference (scored taxa = 100%).;Low;Low  (<= 5);Medium;Medium (> 5 bis <= 10);High;High (> 10)
Symptom_6;RLMR_Psammal;Psammal preference [%];Selection of the relative abundance of species with psammal preference (scored taxa = 100%).;Low;Low  (<= 7,5);High;High (> 7,5);;
Symptom_7;RLMR_Rheoindex;Rheoindex;Selection of Rheoindex according to Banning (abundance classes).;Low;Low (<= 0,6);Medium;Medium (> 0,6 bis <= 0,8);High;High (> 0,8)
Symptom_8;RLMR_KLIWA;KLIWA Index MZB;Selection of the KLIWA Index MZB (corresponds to summer water temperature preference in °C).;Low;Low (<= 18);High;High (> 18);;
Symptom_9;RLMR_EPTCBO;EPTCBO taxa;Selection of the number of Ephemeroptera, Plecoptera, Trichoptera, Coleoptera, Bivalvia and Odonata taxa.;Low;Low (<= 15);Medium;Medium (> 15 bis <= 25);High;High (> 25) 
Symptom_10;RLMR_Coleoptera;Coleoptera taxa [%];Selection of the relative abundance of coloptera taxa (scored taxa = 100%).;Low;Low (<= 5);Medium;Medium (> 5 bis <=10);High;High (> 10) 
Symptom_11;RLMR_Trichoptera;Trichoptera taxa [%];Selection of the relative abundance of trichoptera taxa (scored taxa = 100%).;Low;Low (<= 10);Medium;Medium (> 10 bis <= 20);High;High (> 20) 
Symptom_12;RLMR_EPT;EPT taxa [%];Selection of the relative abundance of Ephemeroptera, Plecoptera and Trichoptera taxa based on abundance classes.;Low;Low (<= 40);Medium;Medium (> 40 bis <= 50);High;High (> 50)
Symptom_13;RLMR_TI;Selection of the Trophic Diatom Index.;Selection of the Trophic Diatom Index.;Low;Low (<= 2,7);Medium;Medium (> 2,7 bis <= 3,15);High;High (> 3,15)
